t -  arbitrary time, [c]	M - mean anomaly, [rad]	E - eccentric anonaly, [rad]	Theta - true anomaly, [rad]
0	0	0	0
1	0.00112743	0.00112801	0.00112801
2	0.00225487	0.00225603	0.00225603
3	0.0033823	0.00338404	0.00338404
4	0.00450973	0.00451206	0.00451206
5	0.00563717	0.00564007	0.00564007
6	0.0067646	0.00676809	0.00676809
7	0.00789203	0.0078961	0.0078961
8	0.00901947	0.00902412	0.00902412
9	0.0101469	0.0101521	0.0101521
10	0.0112743	0.0112801	0.0112801
11	0.0124018	0.0124082	0.0124082
12	0.0135292	0.0135362	0.0135362
13	0.0146566	0.0146642	0.0146642
14	0.0157841	0.0157922	0.0157922
15	0.0169115	0.0169202	0.0169202
16	0.0180389	0.0180482	0.0180482
17	0.0191664	0.0191762	0.0191762
18	0.0202938	0.0203043	0.0203043
19	0.0214212	0.0214323	0.0214323
20	0.0225487	0.0225603	0.0225603
21	0.0236761	0.0236883	0.0236883
22	0.0248035	0.0248163	0.0248163
23	0.025931	0.0259443	0.0259443
24	0.0270584	0.0270724	0.0270724
25	0.0281858	0.0282004	0.0282004
26	0.0293133	0.0293284	0.0293284
27	0.0304407	0.0304564	0.0304564
28	0.0315681	0.0315844	0.0315844
29	0.0326956	0.0327124	0.0327124
30	0.033823	0.0338404	0.0338404
31	0.0349504	0.0349685	0.0349685
32	0.0360779	0.0360965	0.0360965
33	0.0372053	0.0372245	0.0372245
34	0.0383327	0.0383525	0.0383525
35	0.0394602	0.0394805	0.0394805
36	0.0405876	0.0406085	0.0406085
37	0.041715	0.0417365	0.0417365
38	0.0428425	0.0428646	0.0428646
39	0.0439699	0.0439926	0.0439926
40	0.0450973	0.0451206	0.0451206
41	0.0462248	0.0462486	0.0462486
42	0.0473522	0.0473766	0.0473766
43	0.0484796	0.0485046	0.0485046
44	0.0496071	0.0496326	0.0496326
45	0.0507345	0.0507607	0.0507607
46	0.0518619	0.0518887	0.0518887
47	0.0529894	0.0530167	0.0530167
48	0.0541168	0.0541447	0.0541447
49	0.0552442	0.0552727	0.0552727
50	0.0563717	0.0564007	0.0564007
51	0.0574991	0.0575287	0.0575287
52	0.0586265	0.0586567	0.0586567
53	0.059754	0.0597848	0.0597848
54	0.0608814	0.0609128	0.0609128
55	0.0620088	0.0620408	0.0620408
56	0.0631363	0.0631688	0.0631688
57	0.0642637	0.0642968	0.0642968
58	0.0653911	0.0654248	0.0654248
59	0.0665186	0.0665528	0.0665528
60	0.067646	0.0676809	0.0676809
61	0.0687734	0.0688089	0.0688089
62	0.0699009	0.0699369	0.0699369
63	0.0710283	0.0710649	0.0710649
64	0.0721557	0.0721929	0.0721929
65	0.0732832	0.0733209	0.0733209
66	0.0744106	0.0744489	0.0744489
67	0.075538	0.0755769	0.0755769
68	0.0766655	0.076705	0.076705
69	0.0777929	0.077833	0.077833
70	0.0789203	0.078961	0.078961
71	0.0800478	0.080089	0.080089
72	0.0811752	0.081217	0.081217
73	0.0823026	0.082345	0.082345
74	0.0834301	0.083473	0.083473
75	0.0845575	0.0846011	0.0846011
76	0.0856849	0.0857291	0.0857291
77	0.0868124	0.0868571	0.0868571
78	0.0879398	0.0879851	0.0879851
79	0.0890672	0.0891131	0.0891131
80	0.0901947	0.0902411	0.0902411
81	0.0913221	0.0913691	0.0913691
82	0.0924495	0.0924971	0.0924971
83	0.093577	0.0936252	0.0936252
84	0.0947044	0.0947532	0.0947532
85	0.0958318	0.0958812	0.0958812
86	0.0969593	0.0970092	0.0970092
87	0.0980867	0.0981372	0.0981372
88	0.0992141	0.0992652	0.0992652
89	0.100342	0.100393	0.100393
90	0.101469	0.101521	0.101521
91	0.102596	0.102649	0.102649
92	0.103724	0.103777	0.103777
93	0.104851	0.104905	0.104905
94	0.105979	0.106033	0.106033
95	0.107106	0.107161	0.107161
96	0.108234	0.108289	0.108289
97	0.109361	0.109417	0.109417
98	0.110488	0.110545	0.110545
99	0.111616	0.111673	0.111673
100	0.112743	0.112801	0.112801
101	0.113871	0.113929	0.113929
102	0.114998	0.115057	0.115057
103	0.116126	0.116185	0.116185
104	0.117253	0.117313	0.117313
105	0.11838	0.118441	0.118441
106	0.119508	0.119569	0.119569
107	0.120635	0.120697	0.120697
108	0.121763	0.121825	0.121825
109	0.12289	0.122953	0.122953
110	0.124018	0.124081	0.124081
111	0.125145	0.125209	0.125209
112	0.126273	0.126337	0.126337
113	0.1274	0.127465	0.127465
114	0.128527	0.128593	0.128593
115	0.129655	0.129722	0.129722
116	0.130782	0.13085	0.13085
117	0.13191	0.131978	0.131978
118	0.133037	0.133106	0.133106
119	0.134165	0.134234	0.134234
120	0.135292	0.135362	0.135362
121	0.136419	0.13649	0.13649
122	0.137547	0.137618	0.137618
123	0.138674	0.138746	0.138746
124	0.139802	0.139874	0.139874
125	0.140929	0.141002	0.141002
126	0.142057	0.14213	0.14213
127	0.143184	0.143258	0.143258
128	0.144311	0.144386	0.144386
129	0.145439	0.145514	0.145514
130	0.146566	0.146642	0.146642
131	0.147694	0.14777	0.14777
132	0.148821	0.148898	0.148898
133	0.149949	0.150026	0.150026
134	0.151076	0.151154	0.151154
135	0.152203	0.152282	0.152282
136	0.153331	0.15341	0.15341
137	0.154458	0.154538	0.154538
138	0.155586	0.155666	0.155666
139	0.156713	0.156794	0.156794
140	0.157841	0.157922	0.157922
141	0.158968	0.15905	0.15905
142	0.160096	0.160178	0.160178
143	0.161223	0.161306	0.161306
144	0.16235	0.162434	0.162434
145	0.163478	0.163562	0.163562
146	0.164605	0.16469	0.16469
147	0.165733	0.165818	0.165818
148	0.16686	0.166946	0.166946
149	0.167988	0.168074	0.168074
150	0.169115	0.169202	0.169202
151	0.170242	0.17033	0.17033
152	0.17137	0.171458	0.171458
153	0.172497	0.172586	0.172586
154	0.173625	0.173714	0.173714
155	0.174752	0.174842	0.174842
156	0.17588	0.17597	0.17597
157	0.177007	0.177098	0.177098
158	0.178134	0.178226	0.178226
159	0.179262	0.179354	0.179354
160	0.180389	0.180482	0.180482
161	0.181517	0.18161	0.18161
162	0.182644	0.182738	0.182738
163	0.183772	0.183866	0.183866
164	0.184899	0.184994	0.184994
165	0.186026	0.186122	0.186122
166	0.187154	0.18725	0.18725
167	0.188281	0.188378	0.188378
168	0.189409	0.189506	0.189506
169	0.190536	0.190634	0.190634
170	0.191664	0.191762	0.191762
171	0.192791	0.19289	0.19289
172	0.193919	0.194018	0.194018
173	0.195046	0.195146	0.195146
174	0.196173	0.196274	0.196274
175	0.197301	0.197402	0.197402
176	0.198428	0.19853	0.19853
177	0.199556	0.199658	0.199658
178	0.200683	0.200786	0.200786
179	0.201811	0.201914	0.201914
180	0.202938	0.203042	0.203042
181	0.204065	0.20417	0.20417
182	0.205193	0.205298	0.205298
183	0.20632	0.206426	0.206426
184	0.207448	0.207554	0.207554
185	0.208575	0.208682	0.208682
186	0.209703	0.20981	0.20981
187	0.21083	0.210938	0.210938
188	0.211957	0.212066	0.212066
189	0.213085	0.213194	0.213194
190	0.214212	0.214322	0.214322
191	0.21534	0.21545	0.21545
192	0.216467	0.216578	0.216578
193	0.217595	0.217706	0.217706
194	0.218722	0.218834	0.218834
195	0.219849	0.219962	0.219962
196	0.220977	0.22109	0.22109
197	0.222104	0.222218	0.222218
198	0.223232	0.223346	0.223346
199	0.224359	0.224474	0.224474
200	0.225487	0.225602	0.225602
201	0.226614	0.22673	0.22673
202	0.227742	0.227858	0.227858
203	0.228869	0.228986	0.228986
204	0.229996	0.230114	0.230114
205	0.231124	0.231242	0.231242
206	0.232251	0.23237	0.23237
207	0.233379	0.233498	0.233498
208	0.234506	0.234626	0.234626
209	0.235634	0.235754	0.235754
210	0.236761	0.236882	0.236882
211	0.237888	0.23801	0.23801
212	0.239016	0.239138	0.239138
213	0.240143	0.240266	0.240266
214	0.241271	0.241394	0.241394
215	0.242398	0.242522	0.242522
216	0.243526	0.24365	0.24365
217	0.244653	0.244778	0.244778
